transaction_id,transaction_date,account_id,transaction_type,amount,currency,merchant,description,channel
TXN021,2026-02-26,ACC1001,DEBIT,2300.00,INR,Amazon India,Online Purchase - Books,ONLINE
TXN022,2026-02-26,ACC1002,DEBIT,4100.00,INR,Reliance Digital,Headphones Purchase,POS
TXN023,2026-02-26,ACC1003,CREDIT,12000.00,INR,Client Payment,Consulting Fee,IMPS
TXN024,2026-02-26,ACC1004,DEBIT,890.00,INR,Dominos,Food Order,UPI
TXN025,2026-02-26,ACC1005,DEBIT,15000.00,INR,LIC,Life Insurance Premium,AUTO_DEBIT
TXN026,2026-02-26,ACC1001,CREDIT,5000.00,INR,Interest Credit,Savings Account Interest,SYSTEM
TXN027,2026-02-26,ACC1002,DEBIT,7200.00,INR,Myntra,Fashion Purchase,ONLINE
TXN028,2026-02-26,ACC1003,DEBIT,300.00,INR,PhonePe,Electricity Bill,UPI
TXN029,2026-02-26,ACC1004,DEBIT,11000.00,INR,HDFC Ergo,Health Insurance,AUTO_DEBIT
TXN030,2026-02-26,ACC1005,CREDIT,45000.00,INR,Bonus Payment,Quarterly Bonus,NEFT
TXN031,2026-02-26,ACC1001,DEBIT,560.00,INR,Starbucks,Coffee & Snacks,POS
TXN032,2026-02-26,ACC1002,CREDIT,8000.00,INR,Refund - Amazon,Return Refund,ONLINE
TXN033,2026-02-26,ACC1003,DEBIT,1800.00,INR,Decathlon,Sports Equipment,POS
TXN034,2026-02-26,ACC1004,DEBIT,425.00,INR,Hotstar,Annual Subscription,AUTO_DEBIT
TXN035,2026-02-26,ACC1005,DEBIT,3300.00,INR,Lenskart,Eyewear Purchase,ONLINE
